Run0,,,Run1,,,Run2,,,Run3,,,Run4,,,Run5,,,Run6,,,Run7,,,Run8,,,Run9,,,Run10,
Wire Pair,Resistance (Tohm),,Wire Pair,Resistance (Tohm),,Wire Pair,Resistance (Tohm),,Wire Pair,Resistance (Tohm),,Wire Pair,Resistance (Tohm),,Wire Pair,Resistance,,Wire Pair,Resistance,,Wire Pair,Resistance,,Wire Pair,Resistance,,Wire Pair,Resistance,,Wire Pair,Resistance
1,7.52445,,1,12.26492,,1,13.63017,,1,11.52074,,1,6.59341,,1,7.63359,,1,0,,1,0,,1,0,,1,0,,1,0
2,5.25855,,2,11.13999,,2,12.72265,,2,9.06618,,2,7.8329,,2,5.34759,,2,0,,2,0,,2,0,,2,0,,2,0
3,5.46847,,3,11.55179,,3,12.42751,,3,8.2713,,3,9.28793,,3,6.41026,,3,0,,3,0,,3,0,,3,0,,3,0
4,4.2206,,4,10.84991,,4,11.3852,,4,7.53958,,4,6.18557,,4,5.66038,,4,0,,4,0,,4,0,,4,0,,4,0
5,0.94274,,5,3.06466,,5,2.5325,,5,0.23643,,5,0.11682,,5,0.09963,,5,0,,5,0,,5,0,,5,0,,5,0
6,0.95969,,6,2.89939,,6,2.39732,,6,0.19733,,6,0.08826,,6,0.07406,,6,0,,6,0,,6,0,,6,0,,6,0
7,1.01413,,7,3.23904,,7,2.6441,,7,0.26496,,7,0.13043,,7,0.05192,,7,0,,7,0,,7,0,,7,0,,7,0
8,0.99026,,8,3.41725,,8,5.2183,,8,0.25798,,8,0.14486,,8,0.09868,,8,0,,8,0,,8,0,,8,0,,8,0
